,Region,Total_Amount,TRF,Opportunity_Owner,Delivery_Year,Delivery_Quarter,"Pricing, Delivery_Terms_Approved","Pricing, Delivery_Terms_Quote_Appr",Decision,Promedio_Region_Por_Quarter,Promedio_Owner_Por_Year_And_Quarter,Lag_1,Delta
4243,APAC,11.948120234509082,0,Person_Name_11,2017,Q3,0,0,1,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
5494,APAC,12.160552130228364,0,Person_Name_11,2017,Q3,1,1,0,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
6431,APAC,12.64014853383342,1,Person_Name_11,2017,Q3,0,0,1,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
7329,APAC,11.19571158991241,0,Person_Name_11,2017,Q3,0,0,1,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
7960,APAC,11.329242982536933,0,Person_Name_11,2017,Q3,0,0,0,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
7993,APAC,11.218017347426708,0,Person_Name_11,2017,Q3,0,0,0,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
7994,APAC,11.042857833676406,0,Person_Name_11,2017,Q3,1,1,0,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
9243,APAC,8.894258825002703,0,Person_Name_11,2017,Q3,0,0,1,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
9387,APAC,8.459034277242706,0,Person_Name_11,2017,Q3,0,0,1,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
9388,APAC,9.190647738630446,0,Person_Name_11,2017,Q3,0,0,1,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
9468,APAC,8.262558973010657,0,Person_Name_11,2017,Q3,0,0,1,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
16185,APAC,13.74306485731759,2,Person_Name_11,2017,Q3,0,0,0,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
16860,APAC,12.800834924168718,1,Person_Name_11,2017,Q3,0,0,1,13.967495859036921,12.736186551536834,13.95609070175323,17.28859875134486
3428,APAC,12.34853528556224,1,Person_Name_11,2017,Q4,0,0,0,14.012658972914792,11.513337879915493,12.736186551536834,17.306166869125022
5495,APAC,9.883284845218608,0,Person_Name_11,2017,Q4,1,1,0,14.012658972914792,11.513337879915493,12.736186551536834,17.306166869125022
5496,APAC,12.881870187755005,1,Person_Name_11,2017,Q4,1,1,0,14.012658972914792,11.513337879915493,12.736186551536834,17.306166869125022
7347,APAC,11.2872787834379,0,Person_Name_11,2017,Q4,0,0,1,14.012658972914792,11.513337879915493,12.736186551536834,17.306166869125022
7686,APAC,9.92695990872127,0,Person_Name_11,2017,Q4,0,0,1,14.012658972914792,11.513337879915493,12.736186551536834,17.306166869125022
9242,APAC,11.265463606004813,0,Person_Name_11,2017,Q4,0,0,1,14.012658972914792,11.513337879915493,12.736186551536834,17.306166869125022
10198,APAC,11.408564449645485,0,Person_Name_11,2017,Q4,0,0,1,14.012658972914792,11.513337879915493,12.736186551536834,17.306166869125022
10259,APAC,9.92695990872127,0,Person_Name_11,2017,Q4,0,0,1,14.012658972914792,11.513337879915493,12.736186551536834,17.306166869125022
10406,APAC,10.70102853163344,0,Person_Name_11,2017,Q4,0,0,1,14.012658972914792,11.513337879915493,12.736186551536834,17.306166869125022
10588,APAC,10.075379913839543,0,Person_Name_11,2017,Q4,0,0,1,14.012658972914792,11.513337879915493,12.736186551536834,17.306166869125022
1480,APAC,13.94645548356493,3,Person_Name_11,2018,Q1,1,1,0,14.255778718898966,13.995796794899277,11.513337879915493,17.346120140182883
7987,APAC,12.850922040682367,1,Person_Name_11,2018,Q1,1,1,0,14.255778718898966,13.995796794899277,11.513337879915493,17.346120140182883
7992,APAC,14.5438488533558,6,Person_Name_11,2018,Q1,1,1,0,14.255778718898966,13.995796794899277,11.513337879915493,17.346120140182883
4949,APAC,12.69185734605268,1,Person_Name_11,2018,Q2,1,1,0,13.802682876290445,14.055655955300862,13.995796794899277,17.31568201642792
7998,APAC,15.03933598833643,10,Person_Name_11,2018,Q2,1,1,0,13.802682876290445,14.055655955300862,13.995796794899277,17.31568201642792
9362,APAC,12.303199356260896,1,Person_Name_11,2018,Q2,0,0,0,13.802682876290445,14.055655955300862,13.995796794899277,17.31568201642792
9962,APAC,13.94660548481522,3,Person_Name_11,2018,Q2,0,1,0,13.802682876290445,14.055655955300862,13.995796794899277,17.31568201642792
7462,APAC,12.123125724709247,0,Person_Name_11,2018,Q3,0,1,0,13.967495859036921,12.123125724709247,14.055655955300862,17.27999262723066
9985,APAC,14.410769237705095,5,Person_Name_11,2018,Q4,0,1,0,14.012658972914792,14.410769237705095,12.123125724709247,17.36157787108584
2363,Americas,12.715531335467661,1,Person_Name_12,2016,Q1,0,1,0,14.636744700564101,15.142166240753175,,17.42143428988218
16108,Americas,15.296047256220122,6,Person_Name_12,2016,Q1,0,1,1,14.636744700564101,15.142166240753175,,17.42143428988218
16109,Americas,14.450420389902238,3,Person_Name_12,2016,Q1,0,1,1,14.636744700564101,15.142166240753175,,17.42143428988218
16111,Americas,14.7225266530526,3,Person_Name_12,2016,Q1,0,1,1,14.636744700564101,15.142166240753175,,17.42143428988218
16112,Americas,16.131856770928337,14,Person_Name_12,2016,Q1,0,1,1,14.636744700564101,15.142166240753175,,17.42143428988218
16684,Americas,15.033386267459202,0,Person_Name_12,2016,Q1,0,0,0,14.636744700564101,15.142166240753175,,17.42143428988218
519,Americas,8.35031181911016,0,Person_Name_12,2016,Q2,1,1,0,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
1895,Americas,13.668431812954378,1,Person_Name_12,2016,Q2,1,1,1,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
2335,Americas,12.58923761014337,0,Person_Name_12,2016,Q2,0,1,0,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
16221,Americas,16.491035439259488,23,Person_Name_12,2016,Q2,1,1,1,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
16222,Americas,17.1229558348925,42,Person_Name_12,2016,Q2,1,1,1,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
16616,Americas,19.361474980195595,400,Person_Name_12,2016,Q2,0,1,0,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
16625,Americas,18.172223634644833,120,Person_Name_12,2016,Q2,1,1,0,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
16691,Americas,13.70342749654562,1,Person_Name_12,2016,Q2,1,1,0,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
16730,Americas,13.661874412408219,1,Person_Name_12,2016,Q2,1,1,0,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
16845,Americas,16.712738756656925,28,Person_Name_12,2016,Q2,0,1,0,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
16846,Americas,16.70155295769921,28,Person_Name_12,2016,Q2,0,1,0,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
16930,Americas,18.15672353141651,120,Person_Name_12,2016,Q2,0,1,0,14.615591534292808,17.528668341812445,15.142166240753175,18.067739604835385
16682,Americas,19.568083456789875,500,Person_Name_12,2016,Q3,1,1,0,14.621713828227241,19.568083456789875,17.528668341812445,19.54256779647045
63,EMEA,11.702880313919579,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
83,EMEA,12.964396073524542,1,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
85,EMEA,11.092963787509358,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
86,EMEA,10.07291382134435,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
87,EMEA,10.38039852109231,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
146,EMEA,12.792013858633146,1,Person_Name_13,2016,Q1,0,0,0,13.892823535362705,13.138057574450846,,17.32870137283575
147,EMEA,12.405596945495676,0,Person_Name_13,2016,Q1,0,0,0,13.892823535362705,13.138057574450846,,17.32870137283575
406,EMEA,12.792013858633146,1,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
410,EMEA,9.84357829978222,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
411,EMEA,10.583739445110341,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
412,EMEA,11.092963787509358,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
1908,EMEA,11.84974764035573,0,Person_Name_13,2016,Q1,0,0,0,13.892823535362705,13.138057574450846,,17.32870137283575
1909,EMEA,11.758969780570622,0,Person_Name_13,2016,Q1,0,0,0,13.892823535362705,13.138057574450846,,17.32870137283575
1916,EMEA,11.712270054269418,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
1917,EMEA,11.720503499742826,0,Person_Name_13,2016,Q1,0,0,0,13.892823535362705,13.138057574450846,,17.32870137283575
1936,EMEA,12.414719627491676,0,Person_Name_13,2016,Q1,0,0,0,13.892823535362705,13.138057574450846,,17.32870137283575
1937,EMEA,12.355472558313107,0,Person_Name_13,2016,Q1,0,0,0,13.892823535362705,13.138057574450846,,17.32870137283575
1948,EMEA,11.702880313919579,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
2032,EMEA,12.53408419123352,0,Person_Name_13,2016,Q1,0,0,0,13.892823535362705,13.138057574450846,,17.32870137283575
2187,EMEA,11.064312025705311,0,Person_Name_13,2016,Q1,0,1,1,13.892823535362705,13.138057574450846,,17.32870137283575
2190,EMEA,12.209342294397796,0,Person_Name_13,2016,Q1,0,0,0,13.892823535362705,13.138057574450846,,17.32870137283575
2232,EMEA,10.623316220222163,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
2233,EMEA,11.179722877216639,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
2278,EMEA,11.932158853801305,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
2279,EMEA,11.498428895617522,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
16386,EMEA,15.139719386907661,6,Person_Name_13,2016,Q1,0,1,0,13.892823535362705,13.138057574450846,,17.32870137283575
16513,EMEA,13.319462456777936,1,Person_Name_13,2016,Q1,0,1,0,13.892823535362705,13.138057574450846,,17.32870137283575
16636,EMEA,13.478152409038612,1,Person_Name_13,2016,Q1,1,1,0,13.892823535362705,13.138057574450846,,17.32870137283575
16689,EMEA,15.555033129856776,10,Person_Name_13,2016,Q1,1,1,1,13.892823535362705,13.138057574450846,,17.32870137283575
16729,EMEA,12.80149260258769,1,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
16782,EMEA,11.147789830113629,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
16783,EMEA,12.396027494479524,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
16784,EMEA,11.093564568542748,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
16819,EMEA,12.642233973823318,1,Person_Name_13,2016,Q1,1,1,0,13.892823535362705,13.138057574450846,,17.32870137283575
16827,EMEA,12.6288372507164,1,Person_Name_13,2016,Q1,1,1,1,13.892823535362705,13.138057574450846,,17.32870137283575
16854,EMEA,15.54666488018626,9,Person_Name_13,2016,Q1,1,1,1,13.892823535362705,13.138057574450846,,17.32870137283575
16857,EMEA,11.72157244693173,0,Person_Name_13,2016,Q1,0,0,0,13.892823535362705,13.138057574450846,,17.32870137283575
16932,EMEA,12.143987113353669,0,Person_Name_13,2016,Q1,0,0,0,13.892823535362705,13.138057574450846,,17.32870137283575
16933,EMEA,11.096341268277587,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
16934,EMEA,11.092963787509358,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
16935,EMEA,11.147789830113629,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
16936,EMEA,11.093564568542748,0,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
16937,EMEA,13.08917467503947,1,Person_Name_13,2016,Q1,0,0,1,13.892823535362705,13.138057574450846,,17.32870137283575
16942,EMEA,11.702880313919579,0,Person_Name_13,2016,Q1,1,1,1,13.892823535362705,13.138057574450846,,17.32870137283575
16944,EMEA,11.702880313919579,0,Person_Name_13,2016,Q1,1,1,1,13.892823535362705,13.138057574450846,,17.32870137283575
79,EMEA,16.268799597619456,20,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
129,EMEA,16.25589619278355,20,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
373,EMEA,14.927625671780035,5,Person_Name_13,2016,Q2,0,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
395,EMEA,11.347655696558494,0,Person_Name_13,2016,Q2,0,0,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
396,EMEA,10.815027517365957,0,Person_Name_13,2016,Q2,0,0,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
402,EMEA,12.091858047918723,0,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
403,EMEA,13.676961339941588,1,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
404,EMEA,14.451843071478924,3,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
445,EMEA,12.134417662337519,0,Person_Name_13,2016,Q2,0,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
575,EMEA,13.264190034614147,1,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
1924,EMEA,11.702880313919579,0,Person_Name_13,2016,Q2,0,0,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
1945,EMEA,11.702880313919579,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
1946,EMEA,10.759869031656374,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
1947,EMEA,11.325853141131947,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2078,EMEA,11.702880313919579,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2186,EMEA,12.309715173792393,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2225,EMEA,11.858481320324485,0,Person_Name_13,2016,Q2,0,0,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2226,EMEA,11.731318249240113,0,Person_Name_13,2016,Q2,0,0,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2227,EMEA,11.702880313919579,0,Person_Name_13,2016,Q2,0,0,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2493,EMEA,12.414719627491676,0,Person_Name_13,2016,Q2,0,0,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2544,EMEA,11.019302680212856,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2545,EMEA,10.971266852531837,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2621,EMEA,9.658146320573872,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2622,EMEA,10.95013000222252,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2623,EMEA,9.84357829978222,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2624,EMEA,10.371096128429997,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2701,EMEA,14.072065480835517,2,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2702,EMEA,14.072065480835517,2,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2707,EMEA,10.249043407890383,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2708,EMEA,11.489126502955209,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2732,EMEA,10.121880336806012,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2733,EMEA,10.362076278966565,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2734,EMEA,11.035805373669408,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2735,EMEA,11.971514191400665,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2740,EMEA,11.009733133359633,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2741,EMEA,10.99068493838894,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2763,EMEA,12.828766044243098,1,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2764,EMEA,10.536725480342165,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2765,EMEA,10.785863629200476,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2766,EMEA,10.60426802525147,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2767,EMEA,10.623316220222163,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2768,EMEA,11.297415205811415,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2810,EMEA,11.221138980933356,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2811,EMEA,10.95013000222252,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2835,EMEA,11.702880313919579,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2943,EMEA,14.223673723041104,3,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2962,EMEA,11.147789830113629,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2963,EMEA,11.019302680212856,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2964,EMEA,11.693401569965035,0,Person_Name_13,2016,Q2,0,0,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2986,EMEA,11.674170208037149,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
2987,EMEA,12.367317388597092,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
3001,EMEA,11.06479291054266,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
3002,EMEA,11.81402955775365,0,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
3003,EMEA,11.683462228062478,0,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
3004,EMEA,11.664414033091782,0,Person_Name_13,2016,Q2,1,1,0,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
3054,EMEA,11.120882377193706,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
3055,EMEA,10.990315047502532,0,Person_Name_13,2016,Q2,1,1,1,13.912927174883757,13.617031722066702,13.138057574450846,17.322847889319313
