,Region,Total_Amount,TRF,Opportunity_Owner,Delivery_Year,Delivery_Quarter,"Pricing, Delivery_Terms_Approved","Pricing, Delivery_Terms_Quote_Appr",Decision,Promedio,Lag_1,Delta
2198,Japan,10.764459720537321,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
2211,EMEA,11.712270054269418,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
2308,EMEA,9.023268048137902,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
2309,EMEA,11.789488448837533,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
2315,EMEA,11.712270054269418,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
2331,EMEA,10.940740261872682,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
2363,Americas,12.715531335467661,1,Other,2016,Q1,0,1,0,13.85134108974216,,16.188412853505927
2536,EMEA,11.353460690319201,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
2573,Japan,10.764459720537321,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
2574,Japan,5.547549628624618,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
2575,Japan,5.205148891655572,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
2589,EMEA,9.005773206234908,0,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16108,Americas,15.296047256220122,6,Other,2016,Q1,0,1,1,13.85134108974216,,16.188412853505927
16109,Americas,14.450420389902238,3,Other,2016,Q1,0,1,1,13.85134108974216,,16.188412853505927
16111,Americas,14.7225266530526,3,Other,2016,Q1,0,1,1,13.85134108974216,,16.188412853505927
16112,Americas,16.131856770928337,14,Other,2016,Q1,0,1,1,13.85134108974216,,16.188412853505927
16126,APAC,12.196022309676673,0,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16174,EMEA,13.98641721194293,2,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16184,APAC,11.658215577079574,0,Other,2016,Q1,0,1,0,13.85134108974216,,16.188412853505927
16275,EMEA,11.664414033091782,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
16279,APAC,13.164778981454129,1,Other,2016,Q1,0,1,0,13.85134108974216,,16.188412853505927
16280,APAC,12.257858318679403,0,Other,2016,Q1,0,1,0,13.85134108974216,,16.188412853505927
16299,EMEA,13.373676805684735,1,Other,2016,Q1,0,1,0,13.85134108974216,,16.188412853505927
16303,EMEA,14.85706666286088,4,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16354,EMEA,14.255625322847706,3,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16355,EMEA,13.070126480068776,1,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16356,EMEA,12.80149260258769,1,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
16387,EMEA,14.610571521015924,4,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16441,EMEA,13.50496366648927,1,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16496,EMEA,12.027603658051708,0,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16497,EMEA,11.125417532359096,0,Other,2016,Q1,0,0,0,13.85134108974216,,16.188412853505927
16600,EMEA,15.670962596863836,11,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16620,EMEA,13.319587339700359,1,Other,2016,Q1,0,1,0,13.85134108974216,,16.188412853505927
16621,EMEA,14.927725706792373,5,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16627,EMEA,12.224029821027205,0,Other,2016,Q1,0,0,0,13.85134108974216,,16.188412853505927
16633,EMEA,15.060848961030914,5,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16677,APAC,9.564512185696797,0,Other,2016,Q1,0,0,0,13.85134108974216,,16.188412853505927
16680,APAC,13.617059619240436,0,Other,2016,Q1,0,0,0,13.85134108974216,,16.188412853505927
16681,APAC,13.269182101155629,1,Other,2016,Q1,0,0,0,13.85134108974216,,16.188412853505927
16684,Americas,15.033386267459202,0,Other,2016,Q1,0,0,0,13.85134108974216,,16.188412853505927
16700,EMEA,11.59542116160483,0,Other,2016,Q1,0,1,0,13.85134108974216,,16.188412853505927
16703,EMEA,12.80149260258769,1,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16711,EMEA,15.417733964321446,8,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16716,Japan,14.568269141325235,3,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
16717,Japan,11.755965756798888,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
16728,EMEA,15.117571153684649,6,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16732,EMEA,10.902273981044885,0,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16733,EMEA,10.872809442836969,0,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16735,EMEA,12.916627400034432,1,Other,2016,Q1,1,1,0,13.85134108974216,,16.188412853505927
16793,EMEA,11.739921585599928,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
16800,EMEA,11.72157244693173,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
16801,EMEA,13.667482595987044,1,Other,2016,Q1,0,0,0,13.85134108974216,,16.188412853505927
16826,EMEA,10.048703598558145,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
16838,EMEA,11.516778034285718,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
16839,EMEA,10.1951314540686,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
16844,EMEA,13.08917467503947,1,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
16852,EMEA,12.782444407616994,1,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
16861,APAC,11.623124257268303,0,Other,2016,Q1,0,1,0,13.85134108974216,,16.188412853505927
16925,Japan,12.033831312143082,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
16926,Japan,11.798525371217686,0,Other,2016,Q1,1,1,1,13.85134108974216,,16.188412853505927
16927,EMEA,11.739921585599928,0,Other,2016,Q1,0,0,1,13.85134108974216,,16.188412853505927
209,Americas,11.902578214062165,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
388,EMEA,15.764190439196245,12,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
398,EMEA,11.99056238637136,0,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
417,EMEA,12.619171045793735,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
519,Americas,8.35031181911016,0,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
1895,Americas,13.668431812954378,1,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2077,EMEA,12.10171163020543,0,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
2202,APAC,15.484216878855435,10,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
2310,Americas,13.37607989613234,1,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2332,EMEA,10.517955704564338,0,Other,2016,Q2,0,0,1,16.04529501850519,13.85134108974216,16.703289280209674
2333,EMEA,10.645774836029792,0,Other,2016,Q2,0,0,1,16.04529501850519,13.85134108974216,16.703289280209674
2335,Americas,12.58923761014337,0,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
2342,Americas,12.342873687022319,0,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
2546,Americas,10.46851723031563,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2558,APAC,12.863851682252328,1,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
2566,Japan,13.658505809154109,2,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2567,Japan,14.75711809782222,5,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2568,Japan,13.658505809154109,2,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2572,Japan,11.597082772976952,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2614,EMEA,11.858481320324485,0,Other,2016,Q2,0,0,1,16.04529501850519,13.85134108974216,16.703289280209674
2615,EMEA,11.038171162725892,0,Other,2016,Q2,0,0,1,16.04529501850519,13.85134108974216,16.703289280209674
2616,EMEA,11.009733133359633,0,Other,2016,Q2,0,0,1,16.04529501850519,13.85134108974216,16.703289280209674
2634,Americas,11.365700745213703,0,Other,2016,Q2,0,0,1,16.04529501850519,13.85134108974216,16.703289280209674
2636,Japan,10.593469729752917,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2712,EMEA,11.146200185177994,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2726,Americas,10.248969083314929,0,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
2729,Japan,5.405915377146055,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2730,Japan,5.185730805798471,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2731,APAC,9.973479924356162,0,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
2952,Japan,10.42602433223013,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
2961,APAC,13.089013397722775,1,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
3016,Americas,9.961756460660103,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
3048,EMEA,8.36474106822456,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
3052,Japan,5.021773038506711,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
3053,Japan,5.114779069826186,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
3208,Japan,4.763199050213001,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
3209,Japan,5.205148891655572,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
3238,Americas,5.0551624161463335,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
3252,Americas,7.189922170745808,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
3253,Americas,11.365700745213703,0,Other,2016,Q2,0,0,1,16.04529501850519,13.85134108974216,16.703289280209674
3353,APAC,8.258007868754762,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
3362,Americas,11.07069263266985,0,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
3385,Japan,9.575982985897175,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
16179,APAC,13.256894270361935,1,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16221,Americas,16.491035439259488,23,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
16222,Americas,17.1229558348925,42,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
16353,EMEA,14.255625322847706,3,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16414,Americas,15.687662673630154,10,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16616,Americas,19.361474980195595,400,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16625,Americas,18.172223634644833,120,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16626,EMEA,15.987550651761438,15,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16632,EMEA,15.061076259588548,6,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16678,APAC,9.755132545305447,0,Other,2016,Q2,1,1,1,16.04529501850519,13.85134108974216,16.703289280209674
16679,APAC,13.713893028585282,2,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16691,Americas,13.70342749654562,1,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16702,EMEA,16.661361300891713,30,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16730,Americas,13.661874412408219,1,Other,2016,Q2,1,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16824,Americas,16.604382781456945,25,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16845,Americas,16.712738756656925,28,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16846,Americas,16.70155295769921,28,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
16930,Americas,18.15672353141651,120,Other,2016,Q2,0,1,0,16.04529501850519,13.85134108974216,16.703289280209674
2298,Americas,18.364109392463472,150,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
2311,Americas,14.659166594955506,4,Other,2016,Q3,1,1,0,15.751467495113022,16.04529501850519,15.806778523272023
2339,Americas,12.716077932912262,1,Other,2016,Q3,1,1,0,15.751467495113022,16.04529501850519,15.806778523272023
2340,Americas,12.326873345675878,0,Other,2016,Q3,1,1,0,15.751467495113022,16.04529501850519,15.806778523272023
2341,Americas,12.326873345675878,0,Other,2016,Q3,1,1,0,15.751467495113022,16.04529501850519,15.806778523272023
2565,Japan,12.677676556142384,1,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
2569,Japan,13.524974416529586,1,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
2570,Japan,11.597082772976952,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
2571,Japan,11.597082772976952,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
2721,APAC,12.987028530962707,0,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
2722,APAC,13.050867375699259,1,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
2809,Japan,11.424553162341256,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
2838,Americas,14.349075668699754,3,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
2989,Americas,15.008307393149199,5,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3057,EMEA,14.286716589035116,3,Other,2016,Q3,1,1,0,15.751467495113022,16.04529501850519,15.806778523272023
3058,EMEA,14.306433837462514,3,Other,2016,Q3,1,1,0,15.751467495113022,16.04529501850519,15.806778523272023
3065,APAC,14.325047351545336,3,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
3071,APAC,12.935310646234473,1,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
3073,APAC,14.45802212255564,4,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
3074,APAC,13.123362877737412,1,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
3081,Americas,13.254266257221394,1,Other,2016,Q3,1,1,0,15.751467495113022,16.04529501850519,15.806778523272023
3083,APAC,11.870599909242044,0,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
3242,Japan,11.313327527231033,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3411,Americas,12.446606505072465,0,Other,2016,Q3,1,1,0,15.751467495113022,16.04529501850519,15.806778523272023
3422,APAC,11.606051442959712,0,Other,2016,Q3,0,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3563,Japan,10.72523900738404,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3578,Americas,12.446606505072465,0,Other,2016,Q3,1,1,0,15.751467495113022,16.04529501850519,15.806778523272023
3583,Americas,10.216179260491938,0,Other,2016,Q3,0,0,0,15.751467495113022,16.04529501850519,15.806778523272023
3692,Americas,11.34355961933649,0,Other,2016,Q3,0,0,1,15.751467495113022,16.04529501850519,15.806778523272023
3743,Japan,12.773683813628917,1,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3767,APAC,9.263520884446908,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3874,Japan,12.09757120231978,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3875,Japan,8.946374826141717,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3876,Japan,11.404424021759835,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3891,Americas,11.442932093149693,0,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
3897,EMEA,11.158787300683466,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3909,Americas,11.974605486406128,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3944,APAC,11.138296013480906,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
3945,APAC,8.765052769680846,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4006,APAC,8.144679183447758,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4020,Americas,11.207893754183335,0,Other,2016,Q3,0,0,1,15.751467495113022,16.04529501850519,15.806778523272023
4040,Japan,8.530859382180052,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4041,Japan,12.320714753633991,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4042,Japan,10.812592206287782,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4043,Japan,8.49758459329518,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4045,Japan,7.630072836841862,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4059,Japan,5.871599345247274,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4060,APAC,9.991498429858842,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4067,APAC,8.45216388319572,0,Other,2016,Q3,0,0,1,15.751467495113022,16.04529501850519,15.806778523272023
4069,APAC,9.466435023430078,0,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
4128,Japan,10.701124469735872,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4129,Japan,7.655390644826152,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4130,Japan,8.716961661813913,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4140,EMEA,9.549665677579801,0,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
4141,EMEA,6.866933284461882,0,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
4172,Americas,11.442932093149693,0,Other,2016,Q3,1,1,0,15.751467495113022,16.04529501850519,15.806778523272023
4207,Americas,11.371361900648441,0,Other,2016,Q3,0,0,1,15.751467495113022,16.04529501850519,15.806778523272023
4239,Americas,10.506162829931998,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4300,APAC,7.919356190660617,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4335,Americas,9.424644974623188,0,Other,2016,Q3,0,0,1,15.751467495113022,16.04529501850519,15.806778523272023
4353,Japan,7.655390644826152,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4354,Japan,10.701124469735872,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
4431,APAC,7.321188556739478,0,Other,2016,Q3,0,0,1,15.751467495113022,16.04529501850519,15.806778523272023
4433,Japan,9.094104938166053,0,Other,2016,Q3,1,1,1,15.751467495113022,16.04529501850519,15.806778523272023
16143,EMEA,9.14580185083861,0,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
16183,APAC,13.256894270361935,1,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
16297,APAC,14.902050265398115,5,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
16298,APAC,15.2624295409006,0,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
16390,Americas,17.75486853553245,80,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
16415,Americas,15.679940627536244,10,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
16682,Americas,19.568083456789875,500,Other,2016,Q3,1,1,0,15.751467495113022,16.04529501850519,15.806778523272023
16734,APAC,14.691167277648388,5,Other,2016,Q3,0,1,0,15.751467495113022,16.04529501850519,15.806778523272023
578,Americas,9.846917201047734,0,Other,2016,Q4,1,1,1,14.332190875887845,15.751467495113022,15.305665756522984
597,Americas,10.950517031226882,0,Other,2016,Q4,0,0,1,14.332190875887845,15.751467495113022,15.305665756522984
607,Americas,9.600590314277866,0,Other,2016,Q4,0,0,1,14.332190875887845,15.751467495113022,15.305665756522984
661,Americas,7.967054850264706,0,Other,2016,Q4,0,0,1,14.332190875887845,15.751467495113022,15.305665756522984
663,Americas,9.441452092939569,0,Other,2016,Q4,0,0,1,14.332190875887845,15.751467495113022,15.305665756522984
2154,APAC,14.519478977155803,4,Other,2016,Q4,0,1,0,14.332190875887845,15.751467495113022,15.305665756522984
2155,APAC,16.818379405487583,37,Other,2016,Q4,1,1,0,14.332190875887845,15.751467495113022,15.305665756522984
2336,Americas,12.953329151737151,1,Other,2016,Q4,1,1,0,14.332190875887845,15.751467495113022,15.305665756522984
2337,Americas,12.970423585096452,1,Other,2016,Q4,1,1,0,14.332190875887845,15.751467495113022,15.305665756522984
2338,Americas,12.69954863096105,1,Other,2016,Q4,1,1,0,14.332190875887845,15.751467495113022,15.305665756522984
2631,Americas,13.791975160542075,3,Other,2016,Q4,1,1,0,14.332190875887845,15.751467495113022,15.305665756522984
2998,Americas,12.492944890159903,1,Other,2016,Q4,0,0,0,14.332190875887845,15.751467495113022,15.305665756522984
3066,APAC,14.773394187136766,5,Other,2016,Q4,0,1,0,14.332190875887845,15.751467495113022,15.305665756522984
3069,APAC,15.938071453213048,17,Other,2016,Q4,0,1,0,14.332190875887845,15.751467495113022,15.305665756522984
3075,APAC,11.298865532389062,0,Other,2016,Q4,0,1,0,14.332190875887845,15.751467495113022,15.305665756522984
3082,APAC,11.597358520945058,0,Other,2016,Q4,0,1,0,14.332190875887845,15.751467495113022,15.305665756522984
3084,APAC,13.086995233566537,1,Other,2016,Q4,0,0,0,14.332190875887845,15.751467495113022,15.305665756522984
3089,APAC,13.802650824902013,2,Other,2016,Q4,0,1,0,14.332190875887845,15.751467495113022,15.305665756522984
