,Region,Total_Amount,Años en entregar,Month Created,Product_Name,Opportunity_Owner,Delivery_Year,Delivery_Quarter,"Pricing, Delivery_Terms_Approved","Pricing, Delivery_Terms_Quote_Appr",Decision,Promedio_Region_Por_Quarter,Promedio_Owner_Por_Year_And_Quarter,Lag_1,Delta
10797,APAC,2.8215245786949255,1,9,Product_Name_110,Person_Name_11,2017,Q2,1,1,0,2.4376208909034154,2.327220220219822,2.486429290544646,1.9317120963688732
11103,APAC,2.372100252778116,0,3,Product_Name_217,Person_Name_11,2017,Q2,0,0,1,2.4376208909034154,2.327220220219822,2.486429290544646,1.9317120963688732
11271,APAC,2.4852002174418906,0,4,Product_Name_209,Person_Name_11,2017,Q2,1,1,0,2.4376208909034154,2.327220220219822,2.486429290544646,1.9317120963688732
11272,APAC,2.4952692700216685,0,4,Product_Name_310,Person_Name_11,2017,Q2,0,0,1,2.4376208909034154,2.327220220219822,2.486429290544646,1.9317120963688732
11570,APAC,2.229924583305238,0,5,Product_Name_190,Person_Name_11,2017,Q2,0,0,0,2.4376208909034154,2.327220220219822,2.486429290544646,1.9317120963688732
11684,APAC,2.450382590927686,0,6,Product_Name_251,Person_Name_11,2017,Q2,0,0,1,2.4376208909034154,2.327220220219822,2.486429290544646,1.9317120963688732
13458,APAC,2.899001848581269,2,11,Product_Name_99,Person_Name_11,2017,Q2,0,1,0,2.4376208909034154,2.327220220219822,2.486429290544646,1.9317120963688732
10629,APAC,2.842049803403383,1,6,Product_Name_99,Person_Name_11,2017,Q3,0,1,0,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
10632,APAC,2.825006260713681,1,6,Product_Name_99,Person_Name_11,2017,Q3,0,1,0,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
10754,APAC,2.6362698962180016,1,8,Product_Name_167,Person_Name_11,2017,Q3,1,1,0,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
10767,APAC,2.723356974025968,1,8,Product_Name_448,Person_Name_11,2017,Q3,0,1,0,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
10814,APAC,2.6870469333254237,1,9,Product_Name_192,Person_Name_11,2017,Q3,0,0,1,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
11045,APAC,2.7014060687443426,1,12,Product_Name_167,Person_Name_11,2017,Q3,1,1,0,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
11277,APAC,2.733085179138007,0,4,Product_Name_128,Person_Name_11,2017,Q3,0,0,1,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
11394,APAC,2.634463065411887,0,5,Product_Name_209,Person_Name_11,2017,Q3,0,0,1,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
11574,APAC,2.6439993277020863,0,6,Product_Name_209,Person_Name_11,2017,Q3,0,0,0,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
11583,APAC,2.6360623909391143,0,6,Product_Name_413,Person_Name_11,2017,Q3,0,0,0,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
11584,APAC,2.6234340673895296,0,6,Product_Name_254,Person_Name_11,2017,Q3,1,1,0,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
11822,APAC,2.4539640833288114,0,8,Product_Name_132,Person_Name_11,2017,Q3,0,0,1,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
11882,APAC,2.4158379283994216,0,8,Other,Person_Name_11,2017,Q3,0,0,1,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
11883,APAC,2.479120272174029,0,8,Product_Name_115,Person_Name_11,2017,Q3,0,0,1,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
11908,APAC,2.398138444055923,0,8,Product_Name_413,Person_Name_11,2017,Q3,0,0,1,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
13420,APAC,2.8023405333656726,2,4,Product_Name_306,Person_Name_11,2017,Q3,0,0,0,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
13459,APAC,2.7434785502893844,2,11,Product_Name_107,Person_Name_11,2017,Q3,0,0,1,2.4008403866939045,2.4404471212872645,2.327220220219822,2.292428852920001
10624,APAC,2.7139429064035645,1,6,Product_Name_404,Person_Name_11,2017,Q4,0,0,0,2.4488721407977243,2.39521281841915,2.4404471212872645,2.0995568010636165
11046,APAC,2.535552320114859,1,12,Product_Name_452,Person_Name_11,2017,Q4,1,1,0,2.4488721407977243,2.39521281841915,2.4404471212872645,2.0995568010636165
11047,APAC,2.74867930814607,1,12,Product_Name_163,Person_Name_11,2017,Q4,1,1,0,2.4488721407977243,2.39521281841915,2.4404471212872645,2.0995568010636165
11395,APAC,2.6410122047093796,0,5,Product_Name_447,Person_Name_11,2017,Q4,0,0,1,2.4488721407977243,2.39521281841915,2.4404471212872645,2.0995568010636165
11510,APAC,2.539006197756617,0,9,Product_Name_452,Person_Name_11,2017,Q4,0,0,1,2.4488721407977243,2.39521281841915,2.4404471212872645,2.0995568010636165
11821,APAC,2.639455810359905,0,8,Product_Name_452,Person_Name_11,2017,Q4,0,0,1,2.4488721407977243,2.39521281841915,2.4404471212872645,2.0995568010636165
12095,APAC,2.649621381984153,0,10,Product_Name_452,Person_Name_11,2017,Q4,0,0,1,2.4488721407977243,2.39521281841915,2.4404471212872645,2.0995568010636165
12105,APAC,2.539006197756617,0,10,Product_Name_452,Person_Name_11,2017,Q4,0,0,1,2.4488721407977243,2.39521281841915,2.4404471212872645,2.0995568010636165
12130,APAC,2.598320507636593,0,11,Product_Name_439,Person_Name_11,2017,Q4,0,0,1,2.4488721407977243,2.39521281841915,2.4404471212872645,2.0995568010636165
12189,APAC,2.550655075408032,0,11,Product_Name_452,Person_Name_11,2017,Q4,0,0,1,2.4488721407977243,2.39521281841915,2.4404471212872645,2.0995568010636165
10366,APAC,2.8146043073257916,1,2,Product_Name_340,Person_Name_11,2018,Q1,1,1,0,2.467621461867215,2.623247930786597,2.39521281841915,2.4406122197611277
11578,APAC,2.7466962797461494,1,6,Product_Name_237,Person_Name_11,2018,Q1,1,1,0,2.467621461867215,2.623247930786597,2.39521281841915,2.4406122197611277
11582,APAC,2.8497791982476985,1,6,Product_Name_433,Person_Name_11,2018,Q1,1,1,0,2.467621461867215,2.623247930786597,2.39521281841915,2.4406122197611277
10932,APAC,2.736441563712959,2,11,Product_Name_237,Person_Name_11,2018,Q2,1,1,0,2.4376208909034154,2.6023377378785715,2.623247930786597,2.126448142014819
11585,APAC,2.8780434210854433,1,6,Product_Name_245,Person_Name_11,2018,Q2,1,1,0,2.4376208909034154,2.6023377378785715,2.623247930786597,2.126448142014819
11861,APAC,2.7109337458439655,1,8,Product_Name_227,Person_Name_11,2018,Q2,0,0,0,2.4376208909034154,2.6023377378785715,2.623247930786597,2.126448142014819
11975,APAC,2.814613296624409,1,10,Product_Name_451,Person_Name_11,2018,Q2,0,1,0,2.4376208909034154,2.6023377378785715,2.623247930786597,2.126448142014819
11436,APAC,2.6988911824385062,1,9,Product_Name_241,Person_Name_11,2018,Q3,0,1,0,2.4008403866939045,2.4951148454694962,2.6023377378785715,1.9876094974655651
11980,APAC,2.842049803403383,1,10,Product_Name_340,Person_Name_11,2018,Q4,0,1,0,2.4488721407977243,2.667975790800745,2.4951148454694962,2.394054650508087
5039,Americas,2.737974475162047,0,3,Product_Name_284,Person_Name_12,2016,Q1,0,1,0,2.553548575227325,2.689544111232357,,3.152528826141192
7898,Americas,2.8923788252935534,2,5,Product_Name_287,Person_Name_12,2016,Q1,0,1,1,2.553548575227325,2.689544111232357,,3.152528826141192
7899,Americas,2.8443590362419138,2,5,Other,Person_Name_12,2016,Q1,0,1,1,2.553548575227325,2.689544111232357,,3.152528826141192
7900,Americas,2.860063907176879,2,6,Product_Name_308,Person_Name_12,2016,Q1,0,1,1,2.553548575227325,2.689544111232357,,3.152528826141192
7901,Americas,2.9376779117845415,2,6,Product_Name_286,Person_Name_12,2016,Q1,0,1,1,2.553548575227325,2.689544111232357,,3.152528826141192
8060,Americas,2.8777087248005184,1,10,Other,Person_Name_12,2016,Q1,0,0,0,2.553548575227325,2.689544111232357,,3.152528826141192
4691,Americas,2.406082398920931,0,1,Product_Name_289,Person_Name_12,2016,Q2,1,1,0,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
4985,Americas,2.797802421542752,0,1,Product_Name_284,Person_Name_12,2016,Q2,1,1,1,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
5030,Americas,2.7297695423685,0,3,Product_Name_289,Person_Name_12,2016,Q2,0,1,0,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
7914,Americas,2.9565314473204203,1,5,Product_Name_286,Person_Name_12,2016,Q2,1,1,1,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
7915,Americas,2.9888623330072326,1,5,Product_Name_307,Person_Name_12,2016,Q2,1,1,1,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
8036,Americas,3.0956496066680597,1,9,Product_Name_307,Person_Name_12,2016,Q2,0,1,0,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
8040,Americas,3.0403394091752487,1,9,Product_Name_307,Person_Name_12,2016,Q2,1,1,0,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
8061,Americas,2.7999329219115596,1,10,Product_Name_305,Person_Name_12,2016,Q2,1,1,0,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
8070,Americas,2.7974027084692232,1,11,Product_Name_284,Person_Name_12,2016,Q2,1,1,0,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
8091,Americas,2.9679938455511796,1,11,Product_Name_307,Person_Name_12,2016,Q2,0,1,0,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
8092,Americas,2.967418659223538,1,11,Product_Name_307,Person_Name_12,2016,Q2,0,1,0,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
8094,Americas,3.0395979402407907,1,12,Product_Name_286,Person_Name_12,2016,Q2,0,1,0,2.5335181947286576,2.7337828595729063,2.689544111232357,2.233902342356908
8058,Americas,3.1049543101129404,1,10,Product_Name_307,Person_Name_12,2016,Q3,1,1,0,2.544619754292987,2.9738998438984092,2.7337828595729063,2.553131734232016
3,EMEA,2.670209629248669,1,12,Product_Name_100,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
20,EMEA,2.753948079315247,1,12,Product_Name_107,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
22,EMEA,2.6270628268528537,1,12,Product_Name_100,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
23,EMEA,2.5504626263781622,1,12,Product_Name_77,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
24,EMEA,2.5741770172865728,1,12,Product_Name_85,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
30,EMEA,2.7429107877491874,1,12,Product_Name_96,Person_Name_13,2016,Q1,0,0,0,2.496125629200764,2.486423128696931,,3.0295732638974133
31,EMEA,2.7177175336030355,1,12,Product_Name_111,Person_Name_13,2016,Q1,0,0,0,2.496125629200764,2.486423128696931,,3.0295732638974133
60,EMEA,2.7429107877491874,0,1,Product_Name_96,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
62,EMEA,2.53240189145138,0,1,Product_Name_167,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
63,EMEA,2.5895560887797187,0,1,Product_Name_77,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
64,EMEA,2.6270628268528537,0,1,Product_Name_100,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
480,EMEA,2.680327032568754,0,1,Product_Name_167,Person_Name_13,2016,Q1,0,0,0,2.496125629200764,2.486423128696931,,3.0295732638974133
481,EMEA,2.674085614105144,0,1,Product_Name_111,Person_Name_13,2016,Q1,0,0,0,2.496125629200764,2.486423128696931,,3.0295732638974133
482,EMEA,2.670859542124524,0,2,Product_Name_100,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
483,EMEA,2.671429074444236,0,2,Product_Name_85,Person_Name_13,2016,Q1,0,0,0,2.496125629200764,2.486423128696931,,3.0295732638974133
497,EMEA,2.7183196799376153,0,2,Product_Name_100,Person_Name_13,2016,Q1,0,0,0,2.496125629200764,2.486423128696931,,3.0295732638974133
498,EMEA,2.7144025683198745,0,2,Product_Name_111,Person_Name_13,2016,Q1,0,0,0,2.496125629200764,2.486423128696931,,3.0295732638974133
503,EMEA,2.670209629248669,0,2,Product_Name_100,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
508,EMEA,2.7261651585032967,0,2,Product_Name_167,Person_Name_13,2016,Q1,0,0,0,2.496125629200764,2.486423128696931,,3.0295732638974133
539,EMEA,2.6249894292243376,0,2,Product_Name_62,Person_Name_13,2016,Q1,0,1,1,2.496125629200764,2.486423128696931,,3.0295732638974133
542,EMEA,2.7046750804833923,0,2,Product_Name_62,Person_Name_13,2016,Q1,0,0,0,2.496125629200764,2.486423128696931,,3.0295732638974133
564,EMEA,2.5925220554917257,0,2,Product_Name_111,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
565,EMEA,2.6333150968863803,0,2,Product_Name_62,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
568,EMEA,2.6859596646484247,0,2,Product_Name_111,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
569,EMEA,2.6559527330462167,0,2,Product_Name_100,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4532,EMEA,2.883673576357688,1,8,Product_Name_84,Person_Name_13,2016,Q1,0,1,0,2.496125629200764,2.486423128696931,,3.0295732638974133
4547,EMEA,2.776305474852857,1,9,Product_Name_82,Person_Name_13,2016,Q1,0,1,0,2.496125629200764,2.486423128696931,,3.0295732638974133
4555,EMEA,2.7861383010118126,1,10,Product_Name_96,Person_Name_13,2016,Q1,1,1,0,2.496125629200764,2.486423128696931,,3.0295732638974133
4563,EMEA,2.906635962741367,1,10,Product_Name_99,Person_Name_13,2016,Q1,1,1,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4577,EMEA,2.743520868452309,1,11,Product_Name_96,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4582,EMEA,2.631018394227915,1,11,Product_Name_167,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4583,EMEA,2.717085508204958,1,11,Product_Name_100,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4584,EMEA,2.627106256659271,1,11,Product_Name_134,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4597,EMEA,2.7332207618896334,1,11,Product_Name_82,Person_Name_13,2016,Q1,1,1,0,2.496125629200764,2.486423128696931,,3.0295732638974133
4600,EMEA,2.7323494671902884,1,11,Product_Name_82,Person_Name_13,2016,Q1,1,1,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4618,EMEA,2.9061784554580625,1,11,Product_Name_99,Person_Name_13,2016,Q1,1,1,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4621,EMEA,2.671502992969266,1,11,Product_Name_100,Person_Name_13,2016,Q1,0,0,0,2.496125629200764,2.486423128696931,,3.0295732638974133
4628,EMEA,2.7002937541198957,1,12,Product_Name_85,Person_Name_13,2016,Q1,0,0,0,2.496125629200764,2.486423128696931,,3.0295732638974133
4629,EMEA,2.627306956757923,1,12,Product_Name_167,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4630,EMEA,2.6270628268528537,1,12,Product_Name_100,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4631,EMEA,2.631018394227915,1,12,Product_Name_167,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4632,EMEA,2.627106256659271,1,12,Product_Name_134,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4633,EMEA,2.7618620788982113,1,12,Product_Name_96,Person_Name_13,2016,Q1,0,0,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4636,EMEA,2.670209629248669,1,12,Product_Name_111,Person_Name_13,2016,Q1,1,1,1,2.496125629200764,2.486423128696931,,3.0295732638974133
4638,EMEA,2.670209629248669,1,12,Product_Name_111,Person_Name_13,2016,Q1,1,1,1,2.496125629200764,2.486423128696931,,3.0295732638974133
16,EMEA,2.9449081235060586,1,12,Product_Name_98,Person_Name_13,2016,Q2,1,1,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
25,EMEA,2.94422908497492,1,12,Product_Name_98,Person_Name_13,2016,Q2,1,1,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
44,EMEA,2.871740485740797,0,1,Product_Name_84,Person_Name_13,2016,Q2,0,1,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
53,EMEA,2.6453071822947445,0,1,Product_Name_167,Person_Name_13,2016,Q2,0,0,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
54,EMEA,2.606766088091161,0,1,Product_Name_111,Person_Name_13,2016,Q2,0,0,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
57,EMEA,2.696785275002885,0,1,Product_Name_85,Person_Name_13,2016,Q2,1,1,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
58,EMEA,2.7983221086479793,0,1,Product_Name_107,Person_Name_13,2016,Q2,1,1,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
59,EMEA,2.844441792396688,0,1,Product_Name_99,Person_Name_13,2016,Q2,1,1,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
81,EMEA,2.699650616380335,0,1,Product_Name_85,Person_Name_13,2016,Q2,0,1,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
103,EMEA,2.77285782794574,0,1,Product_Name_82,Person_Name_13,2016,Q2,1,1,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
490,EMEA,2.670209629248669,0,2,Product_Name_100,Person_Name_13,2016,Q2,0,0,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
500,EMEA,2.670209629248669,0,2,Product_Name_100,Person_Name_13,2016,Q2,0,0,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
501,EMEA,2.602688594164721,0,2,Product_Name_167,Person_Name_13,2016,Q2,0,0,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
502,EMEA,2.6437583608045547,0,2,Product_Name_111,Person_Name_13,2016,Q2,0,0,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
515,EMEA,2.670209629248669,0,2,Product_Name_100,Person_Name_13,2016,Q2,0,0,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
538,EMEA,2.711366789130056,0,2,Product_Name_111,Person_Name_13,2016,Q2,0,0,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
557,EMEA,2.680925466319673,0,2,Product_Name_167,Person_Name_13,2016,Q2,0,0,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
558,EMEA,2.6721766708588097,0,2,Product_Name_111,Person_Name_13,2016,Q2,0,0,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
559,EMEA,2.670209629248669,0,2,Product_Name_100,Person_Name_13,2016,Q2,0,0,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
616,EMEA,2.7183196799376153,0,3,Product_Name_100,Person_Name_13,2016,Q2,0,0,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
629,EMEA,2.6217236016926373,0,3,Product_Name_111,Person_Name_13,2016,Q2,1,1,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
630,EMEA,2.6182263702225494,0,3,Product_Name_85,Person_Name_13,2016,Q2,1,1,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
665,EMEA,2.517556346394585,0,4,Product_Name_77,Person_Name_13,2016,Q2,0,0,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
666,EMEA,2.6166836258660444,0,4,Product_Name_100,Person_Name_13,2016,Q2,0,0,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
667,EMEA,2.53240189145138,0,4,Product_Name_167,Person_Name_13,2016,Q2,0,0,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
668,EMEA,2.573467769816201,0,4,Product_Name_85,Person_Name_13,2016,Q2,0,0,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
677,EMEA,2.8221037258467527,0,4,Product_Name_97,Person_Name_13,2016,Q2,1,1,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
678,EMEA,2.8221037258467527,0,4,Product_Name_97,Person_Name_13,2016,Q2,1,1,0,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
680,EMEA,2.5641151360545673,0,4,Product_Name_167,Person_Name_13,2016,Q2,0,0,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
681,EMEA,2.6552991948762923,0,4,Product_Name_100,Person_Name_13,2016,Q2,0,0,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
687,EMEA,2.5542769612596916,0,4,Product_Name_111,Person_Name_13,2016,Q2,1,1,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
688,EMEA,2.572779583763236,0,4,Product_Name_100,Person_Name_13,2016,Q2,1,1,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
689,EMEA,2.6229222573197095,0,4,Product_Name_85,Person_Name_13,2016,Q2,1,1,1,2.4867979215085256,2.4833787768821867,2.486423128696931,2.1556683593326555
